Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
UESPI ,BR 51 2022 000232 9,04/02/2022,AnestesiaFC,JAVA, SD-05 ( Assistencia médica), AP-01  (Aplicativos),UNIVERSIDADE ESTADUAL DO PIAUI / UNIVERSIDADE FEDERAL DO PIAUÍ,FRANCISCO DAS CHAGAS ALVES LIMA / JANILDO LOPES MAGALHAES / OLIMPIO PEREIRA DE SÁ NETO / RITA DE CÁSSIA CERQUEIRA VIANA / SERGIO BARROS DE SOUSA,-,,finalizado - JÚLIA
UESPI ,BR 51 2021 002923 2,1/12/2021,SEART - SOFTWARE EDUCACIONAL PARA PREENCHIMENTO DE ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA, JAVA / JSF, CC-01 (Construção),"  AP-01 , GI-01 , GI-02 (Aplicativos - Gerenciador de informações - Gerenciador de banco de dados)", FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,ANTÔNIO RODRIGUES DOS SANTOS JÚNIOR / ARTEMÁRIA COÊLHO DE ANDRADE / CONSTANTINO AUGUTO DIAS NETO,-,,
UESPI ,BR 51 2021 002596 2,08/11/2021,SEART - SOFTWARE EDUCACIONAL PARA PREENCHIMENTO DE ANOTAÇÃO DE RESPONSABLIDADE TÉCNICA, JAVA / JSF, CC-01 (Construção),"  AP-01 , GI-01 , GI-02 (Aplicativos - Gerenciador de informações - Gerenciador de banco de dados)", FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,ANTÔNIO RODRIGUES DOS SANTOS JÚNIOR / ARTEMÁRIA COÊLHO DE ANDRADE / CONSTANTINO AUGUTO DIAS NETO,-,,até 2023
UESPI ,BR 51 2021 001568 1,12/07/2021,OBESERVA COVID BARREIRA SANITÁRIA,JAVA SCRIPT, IF-07 / SD-01 / SD-02 (Ciencias info. - Saúde - Adm Sanit),"  AP-01 , GI-01 , SO-05 , TC-01 , TI-03  (Aplicativos - Gerenciador de informações - Gerenciador de usuarios - Aplicações teécnico científicas - Transmissão de dados)",FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,DARIO BRITO CALÇADA / JOHN KEVID RODRIGUES CARDOZO / RENAN FIALHO DO NASCIMENTO,-,,
UESPI ,BR 51 2021 001567 3,12/07/2021,OBSERVA COVID BUSCA ATIVA,JAVA SCRIPT, IF-07 / SD-01 / SD-02 (Ciencias info. - Saúde - Adm Sanit),"  AP-01 , GI-01 , SO-05 , TC-01 , TI-03  (Aplicativos - Gerenciador de informações - Gerenciador de usuarios - Aplicações teécnico científicas - Transmissão de dados)",FUNDAÇÃO DA UNIVERSIDADE ESTADUAL DO PIAUÍ,DARIO BRITO CALÇADA / JOHN KEVID RODRIGUES CARDOZO / RENAN FIALHO DO NASCIMENTO,-,,
UESPI ,BR 51 2019 002316 1,16/10/2019,PREDICTED HLA THREE-DIMENSIONAL STRUCTURES DATABASE,RUBY, BL-07 / SD-09 (), GI-01 (Gerenciador de informaçõe),"FUNDAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ / FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ / UNIVERSIDADE FEDERAL DO PIAUÍ",ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / ANTONIO VANILDO DE SOUSA LIMA / DEYLANE MENEZES TELES E OLIVEIRA / FRANCISCO DAS CHAGAS ALVES LIMA / JHONATAN MATHEUS SOUSA COSTA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / RAFAEL MELO SANTOS DE SERPA BRANDÃO / RICARDO MARTINS RAMOS / SEMIRAMIS JAMIL HADAD DO MONTE,-,,
UFPI,BR 51 2023 004201 3,28/12/2023,Software Preditivo Fuzzy,DJANGO / OUTROS / PYTHON,SD-08 (Espec Med Especialidades Médicas),SM-01 Simul & Mod - Simulaçäo e Modelagem, UNIVERSIDADE FEDERAL DO PIAUÍ,DIEGO FERREIRA GOMES / EVERALDO ARAÚJO FERREIRA / JEFFERSON CRUZ DOS SANTOS LEITE / MARIA DO SOCORRO PIRES E CRUZ,,,
UFPI,BR 51 2023 003698 6,30/11/2023,Funcracionalbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003696 0,30/11/2023,Circmatbot2 Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003695 1,30/11/2023,Cubicbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003694 3,30/11/2023,Paretabot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 003335 9,01/11/2023,QoL Monitor, JAVA / OUTROS, IF-10 / IN-02 / SD-01 / SD-06 (Genérico (processamento de dados). -  Tecnologia  - Saúde - Terap Diag)," AP-01 , FA-01 , IA-01 (APLICATIVO - Ferramenta de Apoio - Inteligência Artificial)", UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO PIAUÍ (UFPI),PEDRO ALMIR MARTINS DE OLIVEIRA / PEDRO DE ALCÂNTARA DOS SANTOS NETO / ROSSANA MARIA DE CASTRO ANDRADE,,,
UFPI,BR 51 2023 003062 7,11/10/2023,NUVSynth: Um gerador de dados sintéticos de serviços de nuvem,PYTHON,IN-02 Tecnologia,FA-01 Ferrm Apoio - Ferramenta de Apoio, UNIVERSIDADE FEDERAL DO PIAUÍ, JULIANA OLIVEIRA DE CARVALHO / MATHEUS VICTOR FERREIRA DA SILVA,,,
UFPI,BR 51 2023 003059 7,11/10/2023,MOCSynth: Um gerador de dados sintéticos de monitoramento de serviços de nuvem,PYTHON,IN-02 Tecnologia,FA-01 Ferrm Apoio - Ferramenta de Apoio, UNIVERSIDADE FEDERAL DO PIAUÍ, JULIANA OLIVEIRA DE CARVALHO / MATHEUS VICTOR FERREIRA DA SILVA,,,
UFPI,BR 51 2023 002912 2,26/09/2023,Quadraticabot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 002910 6,26/09/2023,Circmatbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 002909 2,26/09/2023,Logbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 002908 4,26/09/2023,Expbot Joystick,PYTHON,ED-01 Ensin Regl Ensino regular,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CLEIDINALDO AGUIAR SOUZA,,,
UFPI,BR 51 2023 002848 7,22/09/2023,OQCBFV-Modelo de otimização da quantidade de clusters baseado em faixa de valores dos atributos,PYTHON,"IF-07 Ciênc Info (sistema de informaçäo, rede de informaçäo, teoria da informaçäo, fluxo de informaçäo);"," IA-01 , TC-03 ( Inteligência Artificial - Reconhecimento de Padröes)", UNIVERSIDADE FEDERAL DO PIAUÍ,"ALINE MONTENEGRO LEAL SILVA /ANDRÉ MACEDO SANTANA /FRANCISCO JAIR DE OLIVEIRA NERES /VINÍCIUS PONTE MACHADO    
",,,
UFPI,BR 51 2023 002118 0,19/07/2023,CompositeApp-Lajes Mistas,CSS / HTML / JAVA,"CC-01 Construçäo (construçäo civil: habitacional, comercial, industrial: construçäo industrializada ou pré-fabricada); ",AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, MARIANA MOHANA RODRIGUES DA SILVA /WALLISON CARLOS DE SOUSA BARBOSA,,,
UFPI,BR 51 2023 001435 4,22/05/2023,Multi-Leuknet - Modelo de Rede Neural Convolucional para Identificação de Leucemias Agudas,PYTHON,"SD-07 Medicina (alopática, hemeopática, preventiva, tropical, nuclear, medicina do trabalho, legal, de urgência);"," IA-01 , TC-03 , TC-04 (Inteligência Artificial - Reconhecimento de Padröes -  Processamento de Imagem)", UNIVERSIDADE FEDERAL DO PIAUÍ,ANDRÉ MACEDO SANTANA / ELINEIDE SILVA DOS SANTOS / KELSON RÔMULO TEIXEIRA AIRES / LUIS HENRIQUE SILVA VOGADO / MAÍLA DE LIMA CLARO / RODRIGO DE MELO SOUZA VERAS,,,
UFPI,BR 51 2023 001404 4,19/05/2023,CURUPIRA, JAVA," EL-01 / EL-04 / MA-01 / MA-02 ( Ecologia - Ec Veg/Anm Ecologia Vegetal/Ecologia Animal - Meio Amb (artificial, natural, política do meio ambiente); -  Recurs Nat )",AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, BRUNO GABRIEL NUNES PRALON / DANIELE TERTULINO DOS SANTOS / JOANARA ARYELLY DE SOUSA OLIVEIRA / LUIZA ESTER ALVES DA CRUZ / NILTON TEIXEIRA BRITO JUNIOR / PABLO OLIVEIRA DE ARAÚJO COSTA / PEDRO IVO SOARES BARBOSA / WEDSON DE MEDEIROS SILVA SOUTO / WELLYSON VIEIRA DIAS,,,
UFPI,BR 51 2023 001021 9,14/04/2023,AutenticaNet: Uma ferramenta para autenticação por reconhecimento facial,PYTHON,IN-02 Tecnologia," AP-01 , DS-04 ( APLICATIVO - Desv c/Metd - Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia)", UNIVERSIDADE FEDERAL DO PIAUÍ,ANTONIO OSEAS DE CARVALHO FILHO / FLÁVIO HENRIQUE DUARTE DE ARAÚJO / JEANDERSON GOMES DE SOUSA / ROMUERE RODRIGUES VELOSO E SILVA,,,
UFPI,BR 51 2023 001017 0,14/04/2023,GEMA CALCULATOR,PYTHON,BL-02 Genética," AP-01 , DS-04 (APLICATIVOS - Desv c/Metd - Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia )", UNIVERSIDADE FEDERAL DO PIAUÍ,ANTONIO OSEAS DE CARVALHO FILHO / FLÁVIO HENRIQUE DUARTE DE ARAÚJO / JOSÉ LINDENBERG ROCHA SARMENTO / LILIAN ROSALINA GOMES SILVA / ROMUERE RODRIGUES VELOSO E SILVA / SANDRA ISABEL CASTAÑEDA CAGUANA,,,
UFPI,BR 51 2023 001015 4,14/04/2023,Mapa da Covid-19 Piauí: uma ferramenta WEB para monitoramento e auxílio na tomada de decisões,JAVA SCRIPT / PYTHON, AD-04 / SD-01 / SD-02 / SD-05 (Adm Publ - Saúde - Adm Sanit - Assist Méd ),"  AP-01 , AP-02 , FA-01 (APLICATIVOS -  Planejamento -  Ferramenta de Apoio)", UNIVERSIDADE FEDERAL DO PIAUÍ,ANTONIO OSEAS DE CARVALHO FILHO / FABBIO ANDERSON SILVA BORGES / FLÁVIO HENRIQUE DUARTE DE ARAÚJO / HECTOR BATISTA RIBEIRO / LUCAS BEZERRA MARQUES DE SOUZA / PATRICK RYAN SALES DOS SANTOS / RICARDO DE ANDRADE LIRA RABÊLO / ROMUERE RODRIGUES VELOSO E SILVA / SAMUEL PEDRO BESERRA DANTAS LÉLIS,,,
UFPI,BR 51 2023 000857 5,29/03/2023,CODEP - COMPACT OPEN-SOURCE DIDACTIC EDUCATION-ORIENTED PROCESSOR,VHDL, IF-01 / IF-07 (Informaçäo -  Ciênc Info ),SM-01 Simul & Mod - Simulaçäo e Modelagem, UNIVERSIDADE FEDERAL DO PIAUÍ,BENJAMIN SANTOS SILVA / ELLEM ALMEIDA AMORIM / IVAN SARAIVA SILVA / LANDERSON MIGUEL SANTOS COSTA / PEDRO FELIPE FERREIRA DE ABREU / SAMIA ISABEL DA ROCHA GONÇALVES / VINICIUS ALVES DE MOURA,,,
UFPI,BR 51 2023 000856 7,29/03/2023,MIC-UFPI- Education-oriented Implementation of MIC Processor, VHDL, IF-01 / IF-07 (Informaçäo -  Ciênc Info ),SM-01 Simul & Mod - Simulaçäo e Modelagem, UNIVERSIDADE FEDERAL DO PIAUÍ,BENJAMIN SANTOS SILVA / IVAN SARAIVA SILVA / SAMIA ISABEL DA ROCHA GONÇALVES / THAYSSA FERNANDA RODRIGUES ALVES,,,
UFPI,BR 51 2023 000698 0,15/03/2023,OutGym,OUTROS, AN-02 / SD-01 ( Desenv soc - Saúde ),AP-01 APLICATIVO - APLICATIVOS, INSTITUTO FEDERAL DO MARANHÃO / UNIVERSIDADE FEDERAL DO PIAUÍ, ANA RAYONARA DE SOUSA ALBUQUERQUE / ELICIANA SELVINA FERREIRA MENDES VIEIRA / LIVIO CESAR CUNHA NUNES,,,
UFPI,BR 51 2023 000286 0,08/02/2023,COMETA 16 - Computer for Every Task Architecture, VHDL, IF-01 / IF-07 (Informaçäo -  Ciênc Info ),SM-01 Simul & Mod - Simulaçäo e Modelagem, UNIVERSIDADE FEDERAL DO PIAUÍ,ANTONIO GERALDO REGO JUNIOR / CAYO CESAR LOPES MASCARENHAS PIRES CARDOSO / CLAUDINEY RYAN DA SILVA / FABIO ANDERSON CARVALHO SILVA / ICARO GABRIEL DE ARAUJO SILVA / IVAN SARAIVA SILVA / NIVALDO NOGUEIRA PARANAGUÁ SANTOS E SILVA,,,
UFPI,BR 51 2022 003205 8,21/11/2022,Rehabilite Game,HTML / JAVA SCRIPT," SD-06 / SD-09 (Terap Diag -  Eng Biomed Engenharia Biomédica, ciências paramédicas )","FA-01 , SO-02 , SO-05 (Ferramenta de Apoio -  Interface de Entrada e Saída - Gerenciador de Usuários)", UNIVERSIDADE FEDERAL DO PIAUÍ, ARIEL SOARES TELES / DANIEL LIMA SOUSA / JACKS RENAN NEVES FERNANDES / JOSE EVERTON DA SILVA FONTENELE / RAYELE PRICILA MOREIRA DOS SANTOS / RENAN FIALHO DO NASCIMENTO / RODRIGO AUGUSTO ROCHA SOUZA BALUZ / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003183 3,18/11/2022,Painel de Indicadores - iCovid UFPI,OUTROS / PYTHON, BL-04 / CO-02 / IF-07 ( Microbiolg -  Ciência - Ciênc Info),"FA-03 , GI-01 , GI-07 , TC-01 , TI-03 (Planilhas Eletrônicas - Gerenciador de Informaçöes - Org Man Arq - Aplicaçöes Técnico-Científicas - Transmissäo de Dados)", UNIVERSIDADE FEDERAL DO PIAUÍ, BEATRIZ FATIMA ALVES DE OLIVEIRA / BRUNO GUEDES ALCOFORADO AGUIAR / DENIVAL NASCIMENTO VIEIRA JUNIOR / EMIDIO MARQUES DE MATOS NETO / JOSE MARIA PIRES DE MENEZES JUNIOR / OSMAR DE OLIVEIRA CARDOSO / PERICLES LUIZ PICANÇO JUNIOR / RONIELE ARAUJO SOUSA,,,
UFPI,BR 51 2022 003133 7,11/11/2022,Aplicativo para auxílio da Avaliação Comportamental baseado em Inteligência Artificial, PYTHON,PS-02 Comportamt (= conduta ou comportamento humano; motivaçäo);,"GI-01 , IA-01 (Gerenciador de Informaçöes -  Inteligência Artificial)", UNIVERSIDADE FEDERAL DO PIAUÍ,CRISTIANE FRANCISCA FERREIRA MATOS / DANIEL FEITOSA DOS SANTOS / ELUVYA TELES PIAUILINO / PEDRO ANTONIO FERNANDES DA SILVA / SARA CAROLINE MILANEZ SANTOS / VINICIUS PONTE MACHADO,,,
UFPI,BR 51 2022 003119 1,10/11/2022,Touch Anatomy: um software sobre Neuroanatomia,OUTROS," MT-06 / SD-09 (Mat Aplic  -  Eng Biomed Engenharia Biomédica, ciências paramédicas)"," AV-01 , DS-04 , TC-04 (Avaliaçäo de Desempenho -  Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia - Processamento de Imagem)", UNIVERSIDADE FEDERAL DO PIAUÍ,IRIS JORDANIA LUZ MOURA / JACKS RENAN NEVES FERNANDES / KYVIA NAYSIS DE ARAUJO SANTOS / MARCO ANTONIO ORSINI NEVES / MARCOS AURELIO AYRES DA SILVA / RODRIGO AUGUSTO ROCHA SOUZA BALUZ / SILMAR SILVA TEIXEIRA / TIEGO ALEXANDRE DO NASCIMENTO,,,
UFPI,BR 51 2022 003118 3,10/11/2022,NitLab Afasia,JAVA SCRIPT / OUTROS,"  SD-01 / SD-06 / SD-09 (Saúde - Terap Diag - Eng Biomed Engenharia Biomédica, ciências paramédicas )"," AP-01 , FA-01 , TC-01 , UT-01 (APLICATIVOS -  Ferramenta de Apoio - Aplicaçöes Técnico-Científicas -  Utilitários)", UNIVERSIDADE FEDERAL DO PIAUÍ,  ARIEL SOARES TELES / CLAUDIA DINIZ DA SILVA / DANIEL DA SILVA FARIAS / JACKS RENAN NEVES FERNANDES / MONARA KEDMA GOMES NUNES / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003114 0,10/11/2022,NitLab NLMeasurer,JAVA SCRIPT / OUTROS,"SD-06 / SD-09 (Terap Diag -  Eng Biomed Engenharia Biomédica, ciências paramédicas)"," FA-01 , SO-02 , SO-05 ( Ferramenta de Apoio -  Interface de Entrada e Saída - Gerenciador de Usuários)", UNIVERSIDADE FEDERAL DO PIAUÍ,ARIEL SOARES TELES / JACKS RENAN NEVES FERNANDES / LUCAS DANIEL BATISTA LIMA / RAYELE PRICILA MOREIRA DOS SANTOS / RENAN FIALHO DO NASCIMENTO / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003113 2,10/11/2022,Sistema de Controle e Aquisição de Dados IV e LV,  PYTHON / XML, CO-02 / EN-05 / FQ-04 (Ciência - Eng Eltrôn -  Metrologia)," FA-04 , IT-02 , SO-04 , TC-01 ( Geradores de Gráficos -  Instrumentaçäo de Teste e Mediçäo - Interface de Comunicaçäo - Aplicaçöes Técnico-Científicas)", UNIVERSIDADE FEDERAL DO PIAUÍ,ALEXANDRE DE CASTRO MACIEL,,,
