Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
UFPI,BR 51 2022 003096 9,09/11/2022,Aplicativo FisioHY, OUTROS / RUBY," SD-06 / SD-09 (Terap Diag -  Eng Biomed Engenharia Biomédica, ciências paramédicas)","  FA-01 , SO-02 , SO-05 (Ferramenta de Apoio - Interface de Entrada e Saída -  Gerenciador de Usuários)", UNIVERSIDADE FEDERAL DO PIAUÍ, ARIEL SOARES TELES / CASSIO COSTA ALMEIDA / FRANCISCO ELEZIER XAVIER MAGALHAES / JACKS RENAN NEVES FERNANDES / KALINE DE MELO ROCHA / MARCOS AURELIO AYRES DA SILVA / MARLOS DE CASTRO ALMEIDA / RAYELE PRICILA MOREIRA DOS SANTOS / REGINALDO FARIAS DE CASTRO FILHO / SILMAR SILVA TEIXEIRA / VALECIA NATALIA CARVALHO DA SILVA / VICTOR HUGO DO VALE BASTOS,,,
UFPI,BR 51 2022 003095 0,09/11/2022,Precision Shot Analyzer, C# / PYTHON," MT-06 / SD-09 (Mat Aplic  -  Eng Biomed Engenharia Biomédica, ciências paramédicas)"," AV-01 , DS-04 , TC-04 ( Avaliaçäo de Desempenho -  Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia -  Processamento de Imagem)", UNIVERSIDADE FEDERAL DO PIAUÍ,ARIEL SOARES TELES / ERIC GABRIEL SOUZA CRESPO / FRANCISCO GERSON AMORIM DE MENESES / IRIS JORDANIA LUZ MOURA / JACKS RENAN NEVES FERNANDES / JOSE LUIS DE MAGALHAES MARTIN JUNIOR / MARCOS AURELIO AYRES DA SILVA / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003094 2,09/11/2022,Control Tron,OUTROS,IF-10 Genérico (processamento de dados).,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, ANTONIA DE MARIA RODRIGUES DE SOUSA CASTRO / AUGUSTO CESAR LIMA TRAJANO / ERIC GABRIEL SOUZA CRESPO / GILDARIO DIAS LIMA / IRIS JORDANIA LUZ MOURA / JARDEL MARDEN ALMEIDA GUIMARAES DUARTE / JOÃO HENRIQUE SILVA SANTOS / LUCAS NASCIMENTO FONTENELE / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003078 0,08/11/2022,Inventário de Edinburgh,JAVA SCRIPT / OUTROS," SD-01 / SD-04 / SD-09 ( Saúde - Defic Fís - Eng Biomed Engenharia Biomédica, ciências paramédicas)"," FA-01 , SO-02 , SO-04 (Ferramenta de Apoio - Interface de Entrada e Saída -  Interface de Comunicaçäo)", UNIVERSIDADE FEDERAL DO PIAUÍ,  ANTONIA DE MARIA RODRIGUES DE SOUSA CASTRO / AUGUSTO CESAR LIMA TRAJANO / ERIC GABRIEL SOUZA CRESPO / FRANCISCO VICTOR COSTA MARINHO / IRIS JORDANIA LUZ MOURA / JACKS RENAN NEVES FERNANDES / JARDEL MARDEN ALMEIDA GUIMARAES DUARTE / JESSICA INARA BRITO DE SIQUEIRA / MARCOS AURELIO AYRES DA SILVA / SILMAR SILVA TEIXEIRA / VICTOR HUGO DO VALE BASTOS,,,
UFPI,BR 51 2022 003075 6,08/11/2022,CONTAEGGS: UMA FERRAMENTA PARA CONTAGEM DE OVOS EM PALHETAS DE OVITRAMPAS, PYTHON,IN-02 Tecnologia," AP-01 , DS-04 (APLICATIVOS -  Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia)", UNIVERSIDADE FEDERAL DO PIAUÍ, ANTONIO OSEAS DE CARVALHO FILHO / FLAVIO HENRIQUE DUARTE DE ARAUJO / LUCAS MARQUES DE SOUSA SILVA / LUCAS SILVA LOPES / ROMUERE RODRIGUES VELOSO E SILVA / VERUSKA CAVALCANTI BARROS,,,
UFPI,BR 51 2022 003074 8,08/11/2022,SISTEMA PARA RECONHECIMENTO DE PADROES EM IMAGENS TOPOGRÁFICAS CORTICAIS OBTIDAS COM A EEG - PATERNEEG, JAVA SCRIPT / PHP / PYTHON,SD-06 Terap Diag," IA-01 , TC-03 , TC-04 (Inteligência Artificial -  Reconhecimento de Padröes - Processamento de Imagem)", UNIVERSIDADE FEDERAL DO PIAUÍ,ARIEL SOARES TELES / DANIEL DA SILVA FARIAS / FRANCISCO GERSON AMORIM DE MENESES / MONARA KEDMA GOMES NUNES / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2022 003068 3,07/11/2022,Programa para Segmentação Semi-Automática de Lesões de Pele,C / MATLAB / PYTHON,"SD-06 Terap Diag (Terapia, diagnóstico médico (terapêutica, fisioterapia, hemoterapia, dieta, etc; diagnóstico: laboratorial, radiológico, síndrome, sintoma);","  TC-01 , TC-03 , TC-04 (Aplicaçöes Técnico-Científicas - Reconhecimento de Padröes - Processamento de Imagem)", UNIVERSIDADE FEDERAL DO PIAUÍ,LINEIDE SILVA DOS SANTOS / HELANO MIGUEL BRASIL FRANÇA PORTELA / JUSTINO DUARTE SANTOS / KELSON RÔMULO TEIXEIRA AIRES / LUÍS GUILHERME TEIXEIRA DOS SANTOS / RODRIGO DE MELO SOUZA VERAS,,,
UFPI,BR 51 2022 003067 5,07/11/2022,"APLICATIVO DE CELULAR ""MAMA MAIS""",FRAMEWORK / JAVA SCRIPT,"SD-01 Saúde (política de saúde, higiene, saúde física, mental, pública);",AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CAMILA DE SOUSA MOURA ALMEIDA / LUIZ AYRTON SANTOS JUNIOR,,,
UFPI,BR 51 2022 002268 0,22/08/2022,ALGORITMO DE VISÃO COMPUTACIONAL PARA IDENTIFICAÇÃO DE GALINHAS DA RAÇA CANELA-PRETA,PYTHON,"AG-10 Prod Animl (produto animal, zootecnia: tipos de criaçäo, veterinária ou medicina veterinária, zoopatologia, produto veterinário; veterinária preventiva);",TC-04 Proc Imagem - Processamento de Imagem,"FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI - FUFPI / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍÍ",JOSÉ DOS SANTOS DE MOURA / NATANAEL PEREIRA DA SILVA SANTOS / OTÍLIO PAULO DA SILVA NETO / ÍCARO VICTOR FÉLIX CAMPELO,,,
UFPI,BR 51 2022 001688 5,06/07/2022,EPLOGIC,PYTHON, SD-01 / SD-08 (Saúde -  Espec Med Especialidades Médicas )," FA-01 , IA-01 (Ferramenta de Apoio -  Inteligência Artificial)", UNIVERSIDADE FEDERAL DO PIAUÍ, ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / KEYLLA MARIA DE SÁ URTIGA AITA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MARIO MARROQUIM / SEMIRAMIS JAMIL HADAD DO MONTE / VINICIUS PONTE MACHADO,,,
UFPI,BR 51 2022 001677 0,05/07/2022,LEUKNET - UM MODELO DE REDE NEURAL CONVOLUCIONAL PARA O DIAGNÓSTICO DE LEUCEMIA,PYTHON,"SD-07 Medicina (alopática, hemeopática, preventiva, tropical, nuclear, medicina do trabalho, legal, de urgência);"," IA-01 , TC-03 , TC-04", UNIVERSIDADE FEDERAL DO PIAUÍ,FLÁVIO HENRIQUE DUARTE DE ARAUJO / KELSON RÔMULO TEIXEIRA AIRES / LUIS HENRIQUE SILVA VOGADO / RODRIGO DE MELO SOUZA VERAS / ROMUERE RODRIGUES VELOSO E SILVA,,,
UFPI,BR 51 2022 001172 7,18/05/2022,GERIS UTI, OUTROS,"SD-05 Assist Méd (hospitalar, médico-domiciliar, ambulatorial, médico-sanitária);",AP-01 APLICATIVO - APLICATIVOS,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE / FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUI - UFPI,  CASSIO PINHEIRO OLIVEIRA / HENRIQUE JORGE MAIA COSTA / HERLENIA DA PENHA OLIVEIRA CAVALCANTE / NEY RÔMULO DE OLIVEIRA PAULA / PAULO IURY PINHEIRO DA ROCHA,,,
UFPI,BR 51 2022 000232 9,04/02/2022,AnestesiaFC,JAVA,"SD-05 Assist Méd (hospitalar, médico-domiciliar, ambulatorial, médico-sanitária);",AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE ESTADUAL DO PIAUI / UNIVERSIDADE FEDERAL DO PIAUÍ,FRANCISCO DAS CHAGAS ALVES LIMA / JANILDO LOPES MAGALHAES / OLIMPIO PEREIRA DE SÁ NETO / RITA DE CÁSSIA CERQUEIRA VIANA / SERGIO BARROS DE SOUSA,,,
UFPI,BR 51 2021 001994 6,18/08/2021,ProMadeira,JAVA, CC-05 / ED-04 / FQ-06 / IN-03 ( Estrutura -  Formas Ens Formas de ensino/material instrucional - Fis Solid Física dos Sólidos/ dos Fluídos/ dos Plasmas - Engenharia)," AP-01, FA-01 , SO-02 , TC-01 (APLICATIVOS -  Ferramenta de Apoio - Interface de Entrada e Saída - Aplicaçöes Técnico-Científicas)", UNIVERSIDADE FEDERAL DO PIAUÍ,EDUARDO MARTINS FONTES DO REGO / LUIZA MARIA DA SILVA SANTOS,,,
UFPI,BR 51 2021 001837 0,03/08/2021,GeMapCom: Uma ferramenta para mapeamento comparativo e visualização de dados Genômicos., PYTHON,"BL-02 Genética (citogenética, engenharia genética, genotipo, hereditariedade, melhoramento genético, gen, genética das populaçöes);"," AP-01 , DS-04 ( APLICATIVOS - - Aplicativos Desenvolv. Sist. de acordo com determ. Metodologia)", UNIVERSIDADE FEDERAL DO PIAUÍ,ANTONIO OSEAS DE CARVALHO FILHO / FLAVIO HENRIQUE DUARTE DE ARAUJO / FRANCISCO DAS CHAGAS DOS ANJOS CARVALHO JUNIOR / JOSÉ LINDEMBERG ROCHA SARMENTO / LILIAN ROSALINA GOMES SILVA / PEDRO AZEVEDO ABRANTES DE OLIVEIRA / ROMUERE RODRIGUES VELOSO E SILVA,,,
UFPI,BR 51 2021 001795 1,28/07/2021,GLCAD, PYTHON, SD-01 / SD-06 / SD-08 / SD-09, AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ, ANTONIO OSEAS DE CARVALHO FILHO / FLAVIO HENRIQUE DUARTE DE ARAUJO / FRANCISCO CHARLES CAMELO ROSA / ROMUERE RODRIGUES VELOSO E SILVA,,,
UFPI,BR 51 2021 001771 4,27/07/2021,Aplicativo NitLabEduca, JAVA SCRIPT / RUBY,  SD-06 / SD-09,"	  FA-01 , SO-02 , SO-05", UNIVERSIDADE FEDERAL DO PIAUÍ, ARIEL SOARES TELES / CARLA PATRÍCIA AYRES DA SILVA / CASSIO COSTA ALMEIDA / ERIC GABRIEL SOUZA CRESPO / JACKS RENAN NEVES FERNANDES / MARCOS AURÉLIO AYRES DA SILVA / MARLOS DE CASTRO ALMEIDA / RAYELE PRICILA MOREIRA DOS SANTOS / REGINALDO FARIAS DE CASTRO FILHO / SILMAR SILVA TEIXEIRA / THAYANÁ RIBEIRO SILVA FERNANDES / VICTOR HUGO DO VALE BASTOS,,,
UFPI,BR 51 2021 001457 0,30/06/2021,CLIMATÉRIO E SAÚDE,  JAVA,"SD-01 Saúde (política de saúde, higiene, saúde física, mental, pública);",AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, GEÍSA MACHADO FONTENELE / JOSÉ VITOR LOPES DE SOUSA SEGUNDO / MALVINA THAÍS PACHECO RODRIGUES,,,
UFPI,BR 51 2021 001400 6,24/06/2021,REDE CUIDADO AO CALAZAR - REDEKAL,JAVA SCRIPT, SD-01 / SD-02 / SD-03 / SD-09,AP-01 APLICATIVO - APLICATIVOS, UNIVERSIDADE FEDERAL DO PIAUÍ, CARLOS HENRIQUE NERY COSTA / FRANCISCA MIRIANE DE ARAUJO BATISTA / GABRIEL ARAÚJO GONÇALVES / HECTOR BATISTA RIBEIRO / MARCUS VINÍCIUS DE SOUSA LEMOS / ROMUERE RODRIGUES VELOSO E SILVA,,,
UFPI,BR 51 2021 001021 3,18/05/2021,SteelApp UFPI, JAVA, CC-05 / ED-04 / FQ-06 / IN-03," AP-01 , FA-01, SO-02 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ,:	  EDUARDO MARTINS FONTES DO REGO / ÁDAN BARBOSA RIBEIRO,,,
UFPI,BR 51 2021 000971 1,13/05/2021,NISTAGMUS - NITLAB, JAVA SCRIPT / PYTHON, MT-06 / SD-09," IA-01 , IA-02", RODRIGUES E CASTRO LTDA / UNIVERSIDADE FEDERAL DO PIAUÍÍ, ANTONIA DE MARIA RODRIGUES DE SOUSA CASTRO / ERIC GABRIEL SOUZA CRESPO / GILDÁRIO DIAS LIMA / IRIS JORDÂNIA LUZ MOURA / JACKS RENAN NEVES FERNANDES / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2021 000555 4,23/03/2021,Colostomia virtual,MYSQL / PHP,  ED-04 / SD-09," FA-01 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ,ANA KARINE DA COSTA MONTEIRO / ELAINE MARIA LEITE RANGEL ANDRADE,,,
UFPI,BR 51 2021 000377 2,04/03/2021,Geometrix, JAVA, CC-05 / ED-04 / FQ-06 / IN-03," AP-01 , FA-01 , SO-02 , TC-01", UNIVERSIDADE FEDERAL DO PIAUÍ,  EDUARDO MARTINS FONTES DO REGO / LUIS GUSTAVO SOUSA VIEIRA,,,
UFPI,BR 51 2020 002767 9,07/12/2020,EEGPixel, PYTHON, SD-01 / SD-03 / SD-07," DS-06 , TC-03 , TC-04", UNIVERSIDADE FEDERAL DO PIAUÍ,ARIEL SOARES TELES / FRANCISCO GERSON AMORIM DE MENESES / GILDARIO DIAS LIMA / IRIS JORDÂNIA LUZ MOURA / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2020 002766 0,07/12/2020,EEGCalc, PYTHON,	  SD-01 / SD-03 / SD-07,"DS-06 , TC-03 , TC-04", UNIVERSIDADE FEDERAL DO PIAUÍ, FRANCISCO GERSON AMORIM DE MENESES / GILDARIO DIAS LIMA / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2020 002763 6,07/12/2020,MATEMÁTICA ANIMADA, JAVA SCRIPT, ED-03 / ED-04 / ED-06,"AP-01 , ET-01 , ET-02 , FA-01", UNIVERSIDADE FEDERAL DO PIAUÍ,CARLOS GIOVANNI NUNES DE CARVALHO / THIAGO MACHADO RODRIGUES,,,
UFPI,BR 51 2020 002128 0,07/10/2020,ALGORITMO DE APOIO AO SNT PARA DISTRIBUIÇÃO DE ÓRGÃOS POR PROVA CRUZADA EPITOPICA VIRTUAL NEGATIVA,RUBY, SD-02 / SD-06 / SD-09," IA-02 , IT-03", UNIVERSIDADE FEDERAL DO PIAUÍ, ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / KEYLLA MARIA DE SÁ URTIGA AITA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,BR 51 2020 002127 1,07/10/2020,SMART PATHOLOGY PLATFORM,PYTHON, SD-06 / SD-08," FA-01 , IA-01", UNIVERSIDADE FEDERAL DO PIAUÍ,ADALBERTO SOCORRO DA SILVA / ANA PAULA DA SILVA MENDES / ANTONIO GILBERTO BORGES COELHO / FRANCISCO JAIR DE OLIVEIRA NERES / KEYLLA MARIA DE SÁ URTIGA AITA / LUIZ CLAUDIO DEMES DA MATA SOUSA / NAYZE LUCENA SANGREMAN ALDEMAN / SEMIRAMIS JAMIL HADAD DO MONTE / VINÍCIUS PONTE MACHADO,,,
UFPI,BR 51 2019 002484 2,30/10/2019,TIME PERCEPTION SOUND, JAVA, IN-02 / PS-01 / SD-01 / SD-06," FA-01 , SM-01 , SO-02 , SO-04","   INSTITUTO FEDERAL DE EDUCAÇÃO , CIÊNCIA E TECNOLOGIA DO PIAUÍ-IFPI / UNIVERSIDADE FEDERAL DO PIAUÍ", FRANCISCO ELEZIER XAVIER MAGALHÃES / FRANCISCO GERSON AMORIM DE MENESES / FRANCISCO VICTOR COSTA MARINHO / GILDARIO DIAS LIMA / IRIS JORDÂNIA LUZ MOURA / MARCELO MESQUITA SILVA / MARCOS AURELIO AYRES DA SILVA / SILMAR TEIXEIRA LIMA / VICTOR HUGO DO VALE BASTOS,,,
UFPI,BR 51 2019 002316 1,16/10/2019,PREDICTED HLA THREE-DIMENSIONAL STRUCTURES DATABASE,RUBY,	  BL-07 / SD-09,GI-01 Gerenc Info - Gerenciador de Informaçöes,"  FUNDAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ / FUNDAÇÃO UNIVERSIDADE ESTADUAL DO PIAUÍ / UNIVERSIDADE FEDERAL DO PIAUÍ",ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / ANTONIO VANILDO DE SOUSA LIMA / DEYLANE MENEZES TELES E OLIVEIRA / FRANCISCO DAS CHAGAS ALVES LIMA / JHONATAN MATHEUS SOUSA COSTA / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / RAFAEL MELO SANTOS DE SERPA BRANDÃO / RICARDO MARTINS RAMOS / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,BR 51 2019 002196 7,03/10/2019,HLA Haplotype Matcher,RUBY, BL-07 / SD-09," IA-02 , IT-03", UNIVERSIDADE FEDERAL DO PIAUÍ,ADALBERTO SOCORRO DA SILVA / ANTONIO GILBERTO BORGES COELHO / LUIZ CLAUDIO DEMES DA MATA SOUSA / MÁRIO SÉRGIO COELHO MARROQUIM / SEMIRAMIS JAMIL HADAD DO MONTE,,,
UFPI,BR 51 2019 001757 9,14/08/2019,SteelApp NBR8800, JAVA, CC-05 / ED-04 / IN-03, SO-02, UNIVERSIDADE FEDERAL DO PIAUÍ,  EDUARDO MARTINS FONTES DO RÊGO / RODRIGO DINIZ FILGUEIRAS,,,
UFPI,BR 51 2019 001754 4,14/08/2019,SPIBIRADS, C++, SD-05 / SD-06 / SD-08 / SD-09,"  GI-08 , IA-01 , TC-04", UNIVERSIDADE FEDERAL DO PIAUÍ,BENEDITO BORGES DA SILVA / ELMO DE JESUS NERY JÚNIOR,,,
UFPI,BR 51 2019 001670 0,01/08/2019,PiPa Irrigation, VISUAL BASIC, AG-06, AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ,JOSÉ ORLANDO PIAUILINO FERREIRA / MARIA EVA CLEMENCIA FONSECA DE CASTRO SILVA,,,
UFPI,BR 51 2018 051819 2,01/10/2018,COMO VAI SUA LOMBAR?, JAVA / XML,SD-06, AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ, ANDERSON NOGUEIRA MENDES / ARIEL SOARES TELES / FUAD AHMAD HAZIME / POLYANNA GOMES LACERDA CAVALCANTE / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2018 051755 2,25/09/2018,EEGChec - Averiguação de Similaridade em Imagens de EG, HTML / PHP / PYTHON,SD-01 / SD-03 / SD-07,"IT-02 , TC-03 , TC-04","  INSTITUTO FEDERAL DE EDUCAÇÃO , CIÊNCIA E TECNOLOGIA DO PIAUÍ-IFPI / UNIVERSIDADE FEDERAL DO PIAUÍ", FRANCISCO GERSON AMORIM DE MENESES / GILDÁRIO DIAS LIMA / IRIS JORDANIA LUZ MOURA / SILMAR SILVA TEIXEIRA,,,
UFPI,BR 51 2018 051745 5,24/09/2018,CUIDADO PRÉ-NATAL,  JAVA, SD-01,  AP-01, UNIVERSIDADE FEDERAL DO PIAUÍ,GLAYS REGE DANTAS LIMA PIRES / MALVINA THAÍS PACHECO RODRIGUES,,,
